Mp;Locatie;Code watertype;Naam watertype;Krw_Code;Krw_Naam;X-coor;Y-coor;Datum;Tijd;Code methode;Naam methode;Eenheid methode;Taxonnaam;Waarde
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;13/05/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Arrenurus crassicaudatus;25
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;13/05/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Arrenurus globator;41
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;13/05/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Arrenurus latus;2
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;13/05/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Arrenurus sinuator;17
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;13/05/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Asellidae;6
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;13/05/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Bivalvia;8
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;13/05/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Caenis horaria;2
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;13/05/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Ceratopogonidae;4
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;13/05/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Chironomidae;13
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;13/05/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Chironomus;4
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;13/05/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Cloeon;3
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;13/05/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Cloeon dipterum;4
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;13/05/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Cymatia coleoptrata;30
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;13/05/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Gammarus tigrinus;16
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;13/05/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Gastropoda;226
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;13/05/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Helochares;5
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;13/05/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Heteroptera;12
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;13/05/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Hirudinea;9
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;13/05/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Hydrachna conjecta;3
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;13/05/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Hydrobius fuscipes;2
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;13/05/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Hydrodroma despiciens;1
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;13/05/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Hydrophilus piceus;1
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;13/05/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Hydroporus;4
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;13/05/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Hyphydrus ovatus;1
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;13/05/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Ischnura elegans;1
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;13/05/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Laccophilus;2
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;13/05/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Lepidoptera;2
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;13/05/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Limnesia undulata;2
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;13/05/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Metriocnemus;1
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;13/05/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Mystacides niger;1
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;13/05/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Naididae;8
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;13/05/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Noterus clavicornis;14
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;13/05/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Noterus crassicornis;6
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;13/05/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Pisidium;10
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;13/05/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Sigara falleni;13
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;13/05/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Sigara striata;8
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;13/05/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Spercheus emarginatus;1
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;13/05/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Stagnicola palustris;58
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;13/05/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Stratiomyidae;1
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;13/05/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Triaenodes bicolor;2
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;13/05/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Tubificidae;51
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;03/09/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Arrenurus globator;3
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;03/09/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Arrenurus sinuator;1
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;03/09/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Asellidae;3
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;03/09/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Bivalvia;1
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;03/09/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Chironomidae;37
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;03/09/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Chironomus;1
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;03/09/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Cymatia coleoptrata;3
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;03/09/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Cyrnus crenaticornis;3
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;03/09/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Gammarus tigrinus;3
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;03/09/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Gastropoda;7
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;03/09/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Hirudinea;16
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;03/09/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Hydrodroma despiciens;5
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;03/09/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Ischnura elegans;2
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;03/09/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Sigara;1
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;03/09/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Sigara falleni;3
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;03/09/1997;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Sigara striata;1
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;10/06/2003;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Arrenurus crassicaudatus;6
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;10/06/2003;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Arrenurus sinuator;7
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;10/06/2003;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Asellus aquaticus;5
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;10/06/2003;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Bithynia tentaculata;21
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;10/06/2003;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Caenis horaria;3
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;10/06/2003;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Chironomus gr plumosus;27
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;10/06/2003;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Clinotanypus nervosus;2
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;10/06/2003;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Cricotopus sylvestris agg.;3
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;10/06/2003;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Enochrus testaceus;1
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;10/06/2003;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Erpobdella octoculata;2
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;10/06/2003;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Eylais hamata;1
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;10/06/2003;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Gammarus tigrinus;2
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;10/06/2003;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Glossiphonia complanata;1
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;10/06/2003;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Glyptotendipes;4
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;10/06/2003;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Helobdella stagnalis;34
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;10/06/2003;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Lymnaea stagnalis;1
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;10/06/2003;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Musculium lacustre;3
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;10/06/2003;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Noterus clavicornis;1
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;10/06/2003;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Piona alpicola;1
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;10/06/2003;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Piona coccinea;1
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;10/06/2003;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Planorbis planorbis;19
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;10/06/2003;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Sigara falleni;3
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;10/06/2003;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Sigara lateralis;1
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;10/06/2003;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Sigara striata;10
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;10/06/2003;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Sphaerium corneum;1
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;10/06/2003;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Tanypus kraatzi;8
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;10/06/2003;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Valvata piscinalis;10
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;27/08/2003;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Anisus vortex;17
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;27/08/2003;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Arrenurus crassicaudatus;16
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;27/08/2003;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Arrenurus globator;1
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;27/08/2003;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Arrenurus latus;5
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;27/08/2003;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Asellus aquaticus;2
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;27/08/2003;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Bithynia tentaculata;29
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;27/08/2003;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Chironomus gr plumosus;14
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;27/08/2003;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Cloeon simile;1
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;27/08/2003;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Coenagrionidae;21
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;27/08/2003;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Cymatia coleoptrata;1
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;27/08/2003;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Gammarus tigrinus;14
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;27/08/2003;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Gerris;1
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;27/08/2003;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Haliplus heydeni;1
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;27/08/2003;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Helobdella stagnalis;15
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;27/08/2003;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Ilyocoris cimicoides cimicoides;3
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;27/08/2003;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Mesovelia furcata;1
