Mp;Locatie;Code watertype;Naam watertype;Krw_Code;Krw_Naam;X-coor;Y-coor;Datum;Tijd;Code methode;Naam methode;Eenheid methode;Taxonnaam;Waarde
WAM-140289;Biezenloop Biezenloop aan de Dintherse D;SLO;Sloot;R05;Langzaam stromende middenloop/benedenloo;161139;405128;19/08/2002;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Agabus bipustulatus;1
WAM-140289;Biezenloop Biezenloop aan de Dintherse D;SLO;Sloot;R05;Langzaam stromende middenloop/benedenloo;161139;405128;19/08/2002;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Anacaena limbata;1
WAM-140289;Biezenloop Biezenloop aan de Dintherse D;SLO;Sloot;R05;Langzaam stromende middenloop/benedenloo;161139;405128;19/08/2002;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Anisus vortex;9
WAM-140289;Biezenloop Biezenloop aan de Dintherse D;SLO;Sloot;R05;Langzaam stromende middenloop/benedenloo;161139;405128;19/08/2002;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Asellus aquaticus;36
WAM-140289;Biezenloop Biezenloop aan de Dintherse D;SLO;Sloot;R05;Langzaam stromende middenloop/benedenloo;161139;405128;19/08/2002;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Athripsodes;6
WAM-140289;Biezenloop Biezenloop aan de Dintherse D;SLO;Sloot;R05;Langzaam stromende middenloop/benedenloo;161139;405128;19/08/2002;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Bithynia tentaculata;65
WAM-140289;Biezenloop Biezenloop aan de Dintherse D;SLO;Sloot;R05;Langzaam stromende middenloop/benedenloo;161139;405128;19/08/2002;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Caenis horaria;1
WAM-140289;Biezenloop Biezenloop aan de Dintherse D;SLO;Sloot;R05;Langzaam stromende middenloop/benedenloo;161139;405128;19/08/2002;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Clinotanypus nervosus;4
WAM-140289;Biezenloop Biezenloop aan de Dintherse D;SLO;Sloot;R05;Langzaam stromende middenloop/benedenloo;161139;405128;19/08/2002;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Cloeon dipterum;50
WAM-140289;Biezenloop Biezenloop aan de Dintherse D;SLO;Sloot;R05;Langzaam stromende middenloop/benedenloo;161139;405128;19/08/2002;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Corixidae;4
WAM-140289;Biezenloop Biezenloop aan de Dintherse D;SLO;Sloot;R05;Langzaam stromende middenloop/benedenloo;161139;405128;19/08/2002;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Cryptochironomus;1
WAM-140289;Biezenloop Biezenloop aan de Dintherse D;SLO;Sloot;R05;Langzaam stromende middenloop/benedenloo;161139;405128;19/08/2002;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Enochrus melanocephalus;1
WAM-140289;Biezenloop Biezenloop aan de Dintherse D;SLO;Sloot;R05;Langzaam stromende middenloop/benedenloo;161139;405128;19/08/2002;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Erpobdella octoculata;9
